ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
LZITJSO,0,,,
SJTZLOI,0,,,
TZIOSJL,0,,,
LZSTOIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LIZTJSO,0,,,
TZISOJL,0,,,
JTISZOL,0,,,
ZITJLOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
LZOJITS,0,,,
TZISJOL,0,,,
JTISZLO,0,,,
ZITJLSO,0,,,
LZSTIOJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LZJOITS,0,,,
LIZTJOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
TZISJLO,0,,,
JTIZSLO,0,,,
ZITJSLO,0,,,
LZJIOTS,0,,,
LZSTIJO,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TIZSJLO,0,,,
JTIZSOL,0,,,
ZITJSOL,0,,,
LIZTOJS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
LZJITOS,0,,,
TIZSJOL,0,,,
LSZTIJO,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JTIZOSL,0,,,
LZJITSO,0,,,
ZITJOSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TIZSOJL,0,,,
LIZOTJS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
LJZITSO,0,,,
LSZTIOJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JTIOZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TIZOSJL,0,,,
ZITOJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LJZITOS,0,,,
LIOZTJS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TIOZSJL,0,,,
LSZTOIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JTOIZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LJZIOTS,0,,,
ZIOTJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TOIZSJL,0,,,
LOIZTJS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LJZOITS,0,,,
LSZOTIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JOTIZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
OTIZSJL,0,,,
ZOITJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LJOZITS,0,,,
OLIZTJS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OTISZJL,0,,,
LSOZTIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OJTIZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LOJZITS,0,,,
OZITJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TOISZJL,0,,,
OLITZJS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OLJZITS,0,,,
OJTZISL,0,,,
LOSZTIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TIOSZJL,0,,,
OIZTJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
JOTZISL,0,,,
OLJIZTS,0,,,
LOITZJS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TISOZJL,0,,,
OLSZTIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LOJIZTS,0,,,
JTOZISL,0,,,
IOZTJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TISZOJL,0,,,
LIOTZJS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JTZOISL,0,,,
LJOIZTS,0,,,
OLSTZIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
IZOTJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TISZJOL,0,,,
JTZIOSL,0,,,
LJIOZTS,0,,,
LITOZJS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TISZJLO,0,,,
IZTOJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LOSTZIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LJIZOTS,0,,,
JTZISOL,0,,,
TISJZLO,0,,,
LITZOJS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
LJIZTOS,0,,,
JTZISLO,0,,,
IZTJOSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LSOTZIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TISJZOL,0,,,
JZTISLO,0,,,
LJIZTSO,0,,,
LITZJOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
IZTJSOL,0,,,
TISJOZL,0,,,
LSTOZIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JZTISOL,0,,,
LJITZSO,0,,,
LITZJSO,0,,,
IZTJSLO,0,,,
TISOJZL,0,,,
TIOSJZL,0,,,
ITZJSLO,0,,,
LITJZSO,0,,,
JZTIOSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LJITZOS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
TLJISZO,0,,,
TOISJZL,0,,,
ITZJSOL,0,,,
LJITOZS,0,,,
JZTOISL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LITJZOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
OTISJZL,0,,,
LJIOTZS,0,,,
ITZJOSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
OTISJLZ,0,,,
JZOTISL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LITJOZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LJOITZS,0,,,
LSTZOIJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TOISJLZ,0,,,
ITZOJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LOJITZS,0,,,
TLJISOZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
JOZTISL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LITOJZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TIOSJLZ,0,,,
OLJITZS,0,,,
ITOZJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
OJZTISL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LIOTJZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TISOJLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TLJIOSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
OLJITSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
IOTZJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
OZJTISL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LOITJZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TISJOLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
LOJITSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OITZJSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LSTZIOJ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TLJOISZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
OLITJZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TISJLOZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
LJOITSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OITJZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TISJLZO,0,,,
TLOJISZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
OLITJSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
LJIOTSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
TIJSLZO,0,,,
IOTJZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
TOLJISZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
LOITJSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
ITOJZSL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeULYaAFLDmClc?JSAVDEHBEooRBaoAVBJn/wCzCBAAvhFZkBTjBGnBNlBXnBC?rB
LJITOSZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
TIJSLOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
OTLJISZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
LIOTJSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
LJITSOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TLIZJOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
TIJSOLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
OTLJIZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LITOJSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
TLIZJSO,0,,,
LJITSZO,0,,,
TIJOSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
TOLJIZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
LITJOSZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
TLIJZSO,0,,,
LIJTSZO,0,,,
TIOJSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
LITJSOZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
TLOJIZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TLIJZOS,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je0KYaAFLDmClc?JSAVDEHBEooRBaoAVBU+LgCKNBAAvhF9rBZkBStBTlBmmB3?sB
LIJTSOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
LITJSZO,0,,,
TOIJSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
TLJOIZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TLIJOZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
ILTJSZO,0,,,
LIJTOSZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je9LYaAFLDmClc?JSAVDEHBEooRBUoAVBP+TPCzXBAAvhFTlBZkBSoBmhB3nB0?qB
OTIJSLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
TLIOJZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
TLJIOZS,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
